Nutrient,Min_Val,Max_Val,Min_Val_Risks,Max_Val_Risks
Gluten Variant 414,100.41,262.64,Hormonal imbalance,Nerve damage
Whey Protein Variant 415,189.05,334.86,Fatigue,Hypertension
Vitamin B3 (Niacin) Variant 416,96.85,348.54,Muscle weakness,Hypertension
Phosphorus Variant 417,62.51,153.98,Vision issues,Gastro issues
Fructose Variant 418,134.31,404.26,Bone weakness,Gastro issues
Caramel Color Variant 419,115.52,390.9,Fatigue,Diabetes
Calcium Variant 420,156.98,366.63,Memory problems,Nerve damage
Acetic Acid Variant 421,25.87,73.81,Vision issues,Obesity
Palm Oil Variant 422,130.72,320.1,Bone weakness,Nerve damage
Spirulina Variant 423,25.6,292,Poor growth,Diabetes
Hydrolyzed Vegetable Protein Variant 424,85.74,163.09,Muscle weakness,Toxicity
MSG (Monosodium Glutamate) Variant 425,161.07,270.14,Vision issues,Obesity
Omega-3 Fatty Acids Variant 426,153.56,221.08,Low immunity,Toxicity
Sugar Variant 427,136.14,186.93,Memory problems,Nerve damage
Lecithin Variant 428,97.43,279.02,Bone weakness,Obesity
Calcium Propionate Variant 429,84.04,237.11,Vision issues,Stroke
Vitamin B12 Variant 430,37.5,251.77,Vision issues,Toxicity
Caffeine Variant 431,114.13,144.06,Poor digestion,Heart disease
Magnesium Variant 432,168.47,397.7,Vision issues,Toxicity
Coconut Oil Variant 433,86.04,384.79,Poor growth,Obesity
Trans Fat Variant 434,133.98,309.67,Muscle weakness,Toxicity
Peanuts Variant 435,105.27,340.05,Vision issues,Nerve damage
Omega-6 Variant 436,88.61,313.54,Fatigue,Obesity
Palm Oil Variant 437,42.95,252.24,Poor growth,Hypertension
Guar Gum Variant 438,157.11,435.55,Low immunity,Gastro issues
Peanuts Variant 439,142.1,374.72,Memory problems,Obesity
Omega-6 Fatty Acids Variant 440,97.67,296.22,Low immunity,Nerve damage
Lactose Variant 441,83.33,326.53,Poor growth,Heart disease
Vitamin B6 Variant 442,106.48,134.98,Memory problems,Hypertension
Tartaric Acid Variant 443,169.85,288.39,Poor growth,Diabetes
Vanillin Variant 444,132.24,307.89,Hormonal imbalance,Liver strain
Vitamin D Variant 445,152.68,374.29,Anemia,Kidney damage
Vitamin A Variant 446,119.24,148.65,Poor growth,Heart disease
Acetic Acid Variant 447,25.29,145.91,Vision issues,Kidney damage
Aspartame Variant 448,21.81,170.04,Memory problems,Kidney damage
Textured Vegetable Protein Variant 449,1.78,63.29,Poor digestion,Diabetes
Salt (Sodium) Variant 450,171.97,226.15,Memory problems,Stroke
Lactose Variant 451,43.89,298.04,Muscle weakness,Gastro issues
Sodium Nitrate Variant 452,21.15,32.92,Low immunity,Stroke
Mannitol Variant 453,190.72,343.94,Fatigue,Heart disease
Saturated Fat Variant 454,93.89,272.29,Low immunity,Diabetes
Manganese Variant 455,109.79,362.43,Muscle weakness,Liver strain
Vitamin C Variant 456,32.62,307.36,Poor growth,Stroke
Zinc Variant 457,182.6,342.26,Bone weakness,Liver strain
Propyl Gallate Variant 458,8.19,175.35,Muscle weakness,Diabetes
Yeast Extract Variant 459,63.69,266.38,Muscle weakness,Heart disease
Guar Gum Variant 460,60.17,144.41,Bone weakness,Kidney damage
Vitamin B1 (Thiamine) Variant 461,175.19,467.77,Poor digestion,Hypertension
Vitamin B1 (Thiamine) Variant 462,55.93,263.33,Hormonal imbalance,Obesity
Vitamin A Variant 463,110.02,408.66,Memory problems,Obesity
Unsaturated Fat Variant 464,187.8,372.85,Poor growth,Diabetes
Preservatives (Sodium Benzoate) Variant 465,19.45,123.08,Poor digestion,Obesity
Omega-3 Fatty Acids Variant 466,27.22,312.78,Muscle weakness,Toxicity
Omega-3 Fatty Acids Variant 467,95.96,298.54,Low immunity,Toxicity
Gluten Variant 468,92.94,257.71,Hormonal imbalance,Kidney damage
Vitamin B12 Variant 469,169.89,272.96,Vision issues,Diabetes
Protein Variant 470,80.37,298.85,Fatigue,Nerve damage
Dextrose Variant 471,1.99,288.65,Bone weakness,Toxicity
Carrageenan Variant 472,93.99,317.34,Vision issues,Heart disease
Soy Protein Variant 473,48.01,288.77,Anemia,Obesity
Potassium Sorbate Variant 474,89.85,215.72,Poor digestion,Gastro issues
Caramel Color Variant 475,56.76,97.16,Low immunity,Stroke
Calcium Variant 476,175.27,398.85,Vision issues,Toxicity
Saturated Fat Variant 477,18.48,281.45,Low immunity,Hypertension
Gelatin Variant 478,196.98,454.55,Anemia,Hypertension
Artificial Strawberry Flavor Variant 479,87.53,242.79,Poor digestion,Kidney damage
Malic Acid Variant 480,71.66,347.97,Memory problems,Toxicity
Vitamin B2 Variant 481,118.94,269.77,Hormonal imbalance,Diabetes
Phosphorus Variant 482,159.54,334.31,Fatigue,Obesity
Omega-3 Variant 483,184.99,300.82,Hormonal imbalance,Gastro issues
Vitamin B3 Variant 484,157.67,253.27,Memory problems,Toxicity
Casein Variant 485,124.58,253.33,Hormonal imbalance,Obesity
Vitamin B2 (Riboflavin) Variant 486,90.83,159.97,Fatigue,Hypertension
Zinc Variant 487,64.3,181.04,Fatigue,Diabetes
Phosphorus Variant 488,102.08,273.03,Hormonal imbalance,Nerve damage
Vitamin B12 Variant 489,146.4,280.9,Vision issues,Diabetes
Beetroot Powder Variant 490,134.16,200.22,Low immunity,Hypertension
Iodine Variant 491,132.21,160.72,Memory problems,Liver strain
Potassium Sorbate Variant 492,114,191.22,Poor digestion,Stroke
Vitamin B3 (Niacin) Variant 493,116.64,150.43,Poor digestion,Obesity
Salt (Sodium) Variant 494,59.41,123.29,Muscle weakness,Hypertension
Omega-6 Variant 495,187.11,305.41,Poor digestion,Liver strain
Corn Syrup Variant 496,38.05,282.67,Fatigue,Toxicity
Annatto Variant 497,120.72,253.04,Muscle weakness,Gastro issues
Selenium Variant 498,77.04,269.43,Anemia,Stroke
Acetic Acid Variant 499,9.53,61.4,Fatigue,Hypertension
Copper Variant 500,179.9,352.65,Poor digestion,Kidney damage
Vitamin E Variant 501,174.98,409.23,Low immunity,Gastro issues
Cocoa Powder Variant 502,23.41,206.37,Muscle weakness,Nerve damage
Fluoride Variant 503,102.53,336.52,Hormonal imbalance,Diabetes
Xanthan Gum Variant 504,4.71,101.32,Memory problems,Diabetes
Soy Protein Variant 505,119.02,351.59,Vision issues,Obesity
Fat (Total) Variant 506,176.68,235.58,Poor growth,Obesity
Saturated Fat Variant 507,175.24,321.79,Poor growth,Heart disease
Annatto Variant 508,159.08,449.66,Vision issues,Toxicity
Saturated Fat Variant 509,101.63,354.28,Poor growth,Heart disease
Omega-6 Fatty Acids Variant 510,126.55,359.07,Low immunity,Liver strain
Caffeine Variant 511,122.17,181.13,Vision issues,Nerve damage
Calcium Propionate Variant 512,185.63,409.48,Vision issues,Heart disease
Artificial Chocolate Flavor Variant 513,79.7,228.9,Muscle weakness,Stroke
Trans Fat Variant 514,117.9,227.5,Poor digestion,Gastro issues
Chlorella Variant 515,3.67,207.25,Muscle weakness,Diabetes
Propyl Gallate Variant 516,155.37,395.45,Anemia,Nerve damage
Mannitol Variant 517,190.62,365.43,Memory problems,Kidney damage
Stevia Variant 518,80.91,350.44,Fatigue,Nerve damage
Caramel Color Variant 519,19.26,38.13,Bone weakness,Hypertension
Selenium Variant 520,59.1,303.79,Vision issues,Stroke
Vitamin B1 Variant 521,93.22,143.32,Muscle weakness,Toxicity
Olive Oil Variant 522,18.1,280.79,Muscle weakness,Hypertension
Sodium Nitrate Variant 523,107.57,375,Low immunity,Kidney damage
Benzoic Acid Variant 524,57.91,346.8,Poor growth,Nerve damage
Carrageenan Variant 525,132.49,178.79,Fatigue,Liver strain
Omega-6 Variant 526,199.43,330.92,Poor growth,Nerve damage
Annatto Variant 527,71.13,147.9,Memory problems,Toxicity
Vitamin A Variant 528,98.26,132.69,Hormonal imbalance,Toxicity
Zinc Variant 529,181.8,225.53,Anemia,Nerve damage
Caseinate Variant 530,153.14,241.58,Memory problems,Hypertension
Vitamin D Variant 531,38.32,292.27,Memory problems,Diabetes
Vitamin B12 Variant 532,38.68,208.48,Bone weakness,Stroke
Calcium Variant 533,22.31,238.32,Fatigue,Kidney damage
Paprika Extract Variant 534,87.6,140.75,Poor digestion,Obesity
MSG (Monosodium Glutamate) Variant 535,107.22,332.49,Anemia,Gastro issues
Hydrolyzed Vegetable Protein Variant 536,103.37,319.13,Vision issues,Nerve damage
Folic Acid Variant 537,13.92,234.64,Memory problems,Heart disease
Unsaturated Fat Variant 538,16.96,188.63,Vision issues,Liver strain
Vitamin K Variant 539,45.9,111.42,Hormonal imbalance,Obesity
Trans Fat Variant 540,50.3,286.79,Fatigue,Obesity
Vitamin C Variant 541,183.88,249.16,Muscle weakness,Nerve damage
Vitamin C Variant 542,85.81,368.46,Bone weakness,Hypertension
Textured Vegetable Protein Variant 543,32.84,46.05,Memory problems,Liver strain
Vitamin B1 Variant 544,20.78,208.52,Vision issues,Hypertension
Citric Acid Variant 545,37.08,147.88,Bone weakness,Nerve damage
Aspartame Variant 546,26.08,157.96,Fatigue,Gastro issues
Zinc Variant 547,73.75,218.77,Muscle weakness,Kidney damage
Magnesium Variant 548,65.63,199.16,Anemia,Hypertension
Aspartame Variant 549,10.82,62.63,Vision issues,Obesity
Benzoic Acid Variant 550,39.76,208.54,Low immunity,Diabetes
Fiber Variant 551,44.12,282.88,Fatigue,Obesity
Fat (Total) Variant 552,53.19,216.35,Anemia,Kidney damage
Lecithin Variant 553,181.5,393.55,Vision issues,Gastro issues
Vitamin A Variant 554,82.98,130.14,Vision issues,Kidney damage
Probiotics Variant 555,190.1,440.19,Bone weakness,Toxicity
Caseinate Variant 556,183.54,318.53,Poor growth,Nerve damage
Copper Variant 557,151.5,273.81,Hormonal imbalance,Liver strain
Antioxidants Variant 558,162.8,214.49,Bone weakness,Toxicity
Whey Protein Variant 559,5.63,176.71,Anemia,Diabetes
Peanuts Variant 560,160.91,294.52,Fatigue,Kidney damage
Casein Variant 561,182.65,370.27,Bone weakness,Nerve damage
Oxalic Acid Variant 562,190.18,363.02,Low immunity,Liver strain
Probiotics Variant 563,194.64,332.89,Memory problems,Heart disease
Beetroot Powder Variant 564,71.64,340.35,Anemia,Obesity
Spirulina Variant 565,167.24,196.55,Anemia,Toxicity
Carbohydrates Variant 566,190.34,201.87,Muscle weakness,Stroke
Potassium Sorbate Variant 567,195.28,365.81,Vision issues,Heart disease
Omega-3 Fatty Acids Variant 568,153.29,163.48,Anemia,Obesity
Stevia Variant 569,37.64,109.27,Vision issues,Stroke
Tartaric Acid Variant 570,33.94,66.95,Vision issues,Obesity
Calcium Variant 571,161.42,239.02,Memory problems,Stroke
Caffeine Variant 572,178.89,420.09,Muscle weakness,Liver strain
Iron Variant 573,54.87,98.56,Muscle weakness,Liver strain
Sodium Nitrate Variant 574,150,303.15,Vision issues,Nerve damage
Vitamin B3 Variant 575,88.98,194.84,Hormonal imbalance,Gastro issues
Preservatives (Sodium Benzoate) Variant 576,187.37,476.67,Low immunity,Liver strain
Erythritol Variant 577,18.35,36.65,Vision issues,Kidney damage
Erythritol Variant 578,40.62,127.89,Fatigue,Obesity
Fiber Variant 579,30.99,154.2,Anemia,Hypertension
Potassium Variant 580,199.37,445.57,Anemia,Nerve damage
Iron Variant 581,112.92,277.78,Anemia,Gastro issues
Vitamin K Variant 582,102.49,311.57,Anemia,Liver strain
Copper Variant 583,9.53,61.01,Muscle weakness,Kidney damage
Vitamin D Variant 584,44.8,244.89,Muscle weakness,Hypertension
Taurine Variant 585,182,351.19,Hormonal imbalance,Hypertension
Soy Protein Variant 586,159.79,188.9,Bone weakness,Diabetes
Propyl Gallate Variant 587,179.74,343.67,Vision issues,Toxicity
Paprika Extract Variant 588,136.08,355.66,Muscle weakness,Heart disease
Potassium Variant 589,92.99,194.5,Poor growth,Heart disease
Sucralose Variant 590,47.52,234.96,Fatigue,Kidney damage
Hydrolyzed Vegetable Protein Variant 591,131.57,176.85,Bone weakness,Nerve damage
Lecithin Variant 592,92.39,114.78,Poor digestion,Heart disease
Malic Acid Variant 593,51.01,280.55,Fatigue,Diabetes
Trans Fat Variant 594,110.39,223.54,Low immunity,Nerve damage
Cholesterol Variant 595,150.43,280.83,Vision issues,Toxicity
Vitamin B12 Variant 596,36.76,295.49,Fatigue,Stroke
Fructose Variant 597,61.33,148.71,Poor growth,Gastro issues
Calcium Variant 598,170.82,280.45,Anemia,Gastro issues
Magnesium Variant 599,190.16,252.59,Poor growth,Obesity
Guar Gum Variant 600,21,295.72,Vision issues,Kidney damage
High Fructose Corn Syrup Variant 601,115.72,414.29,Hormonal imbalance,Toxicity
Beetroot Powder Variant 602,90.41,380.62,Low immunity,Hypertension
Calcium Propionate Variant 603,94.09,258.59,Muscle weakness,Diabetes
Caffeine Variant 604,97.76,270.23,Hormonal imbalance,Hypertension
Sugar Variant 605,99.5,127.58,Memory problems,Stroke
Calcium Propionate Variant 606,4.44,68.49,Anemia,Nerve damage
Soy Protein Variant 607,42.75,270.82,Low immunity,Stroke
Sodium Nitrate Variant 608,153.6,177.49,Bone weakness,Obesity
Cholesterol Variant 609,97.7,232.05,Fatigue,Gastro issues
Dextrose Variant 610,61.12,252.05,Muscle weakness,Heart disease
Chromium Variant 611,55.44,340.57,Anemia,Gastro issues
Fructose Variant 612,174.03,230.31,Memory problems,Obesity
Beta-Carotene Variant 613,119.36,340.12,Vision issues,Stroke
Vitamin A Variant 614,28.91,184.91,Muscle weakness,Obesity
Tartaric Acid Variant 615,18.24,98.25,Memory problems,Liver strain
Sorbitol Variant 616,76.59,111.38,Anemia,Obesity
Vitamin B2 (Riboflavin) Variant 617,114.29,237.05,Hormonal imbalance,Liver strain
Olive Oil Variant 618,46.27,165.63,Anemia,Stroke
Phytic Acid Variant 619,121.85,317.43,Fatigue,Hypertension
Vitamin B6 Variant 620,177.27,274.56,Low immunity,Obesity
Omega-6 Fatty Acids Variant 621,88.71,338.08,Low immunity,Hypertension
Artificial Sweeteners Variant 622,179.54,318.11,Poor growth,Nerve damage
Fiber Variant 623,5.13,40.87,Bone weakness,Toxicity
Selenium Variant 624,128.89,412.91,Memory problems,Kidney damage
Vitamin K Variant 625,130.63,267.51,Muscle weakness,Diabetes
Benzoic Acid Variant 626,93.94,201.84,Low immunity,Nerve damage
Magnesium Variant 627,97.79,256.09,Bone weakness,Heart disease
Vitamin B6 Variant 628,31.4,125.42,Fatigue,Gastro issues
Vitamin A Variant 629,81.05,216.58,Anemia,Heart disease
Iodine Variant 630,61.95,135.51,Bone weakness,Toxicity
Tartaric Acid Variant 631,152.32,449.22,Fatigue,Hypertension
Vitamin E Variant 632,5.61,163.82,Muscle weakness,Diabetes
Sodium Nitrate Variant 633,47.89,101.14,Anemia,Diabetes
Folic Acid Variant 634,42.47,155.1,Poor growth,Nerve damage
Gelatin Variant 635,71.43,302.95,Vision issues,Liver strain
Sodium Nitrate Variant 636,22.46,265.5,Bone weakness,Liver strain
Sorbitol Variant 637,48.07,127.63,Anemia,Nerve damage
Mannitol Variant 638,186.79,289.94,Muscle weakness,Gastro issues
Olive Oil Variant 639,162.24,351.4,Muscle weakness,Liver strain
Caramel Color Variant 640,100.65,239.83,Anemia,Diabetes
Sodium Sorbate Variant 641,48.78,129.03,Bone weakness,Gastro issues
Cholesterol Variant 642,164.54,356.6,Vision issues,Toxicity
Vitamin B6 Variant 643,102.42,205.56,Hormonal imbalance,Hypertension
Almonds Variant 644,91.68,381.02,Muscle weakness,Gastro issues
Calcium Variant 645,152.5,338.97,Poor digestion,Obesity
Phytic Acid Variant 646,154.19,391.11,Muscle weakness,Heart disease
Vitamin B2 Variant 647,29.07,61.57,Vision issues,Toxicity
Omega-6 Variant 648,2.49,231.71,Low immunity,Diabetes
BHT (Butylated Hydroxytoluene) Variant 649,23.26,314.5,Bone weakness,Toxicity
Fumaric Acid Variant 650,15.65,85.77,Vision issues,Gastro issues
Magnesium Variant 651,38.35,104.51,Bone weakness,Nerve damage
Selenium Variant 652,88.03,162.33,Muscle weakness,Kidney damage
Magnesium Variant 653,66.54,182.97,Memory problems,Kidney damage
Selenium Variant 654,25.18,90.76,Muscle weakness,Nerve damage
Annatto Variant 655,64.36,289.86,Low immunity,Kidney damage
Annatto Variant 656,171.76,393.95,Vision issues,Nerve damage
Selenium Variant 657,128.29,337.33,Vision issues,Heart disease
Dextrose Variant 658,35.09,117.83,Vision issues,Hypertension
Calcium Propionate Variant 659,117.79,183.72,Bone weakness,Gastro issues
Iron Variant 660,21.25,174.44,Low immunity,Hypertension
Sodium Sorbate Variant 661,115.34,383.56,Muscle weakness,Liver strain
Rice Flour Variant 662,174.05,371.58,Poor growth,Gastro issues
BHA (Butylated Hydroxyanisole) Variant 663,107.94,138.54,Muscle weakness,Nerve damage
Lactic Acid Variant 664,134.4,263.39,Vision issues,Kidney damage
Carbohydrates Variant 665,190,321.13,Poor digestion,Liver strain
Probiotics Variant 666,147.78,436.32,Memory problems,Stroke
Spirulina Variant 667,182.18,419.27,Anemia,Liver strain
Carbohydrates Variant 668,6.16,188.3,Hormonal imbalance,Nerve damage
Vitamin E Variant 669,145.74,386.78,Vision issues,Hypertension
Stevia Variant 670,155.06,278.72,Bone weakness,Kidney damage
Probiotics Variant 671,188.49,422.8,Memory problems,Toxicity
Caramel Color Variant 672,108.62,357.08,Memory problems,Obesity
Carbohydrates Variant 673,1.25,249.49,Muscle weakness,Obesity
Almonds Variant 674,128.27,346.34,Anemia,Liver strain
Sorbitol Variant 675,114.87,383.9,Poor digestion,Stroke
Sorbitol Variant 676,64.69,265.42,Poor digestion,Nerve damage
Calcium Variant 677,130.88,184.4,Low immunity,Kidney damage
Vitamin K Variant 678,109.56,267.55,Fatigue,Kidney damage
Omega-3 Fatty Acids Variant 679,135.34,274.62,Vision issues,Obesity
BHA (Butylated Hydroxyanisole) Variant 680,91.16,112.43,Bone weakness,Kidney damage
Artificial Chocolate Flavor Variant 681,57.94,68.51,Low immunity,Stroke
Sodium Sorbate Variant 682,22.5,256.22,Poor growth,Obesity
Iodine Variant 683,93.45,267.03,Anemia,Stroke
Cocoa Powder Variant 684,82.75,352.95,Bone weakness,Diabetes
Magnesium Variant 685,118.63,408.64,Bone weakness,Nerve damage
Phytic Acid Variant 686,191.53,418.11,Muscle weakness,Stroke
Aspartame Variant 687,124.66,336.21,Memory problems,Kidney damage
Sodium Nitrite Variant 688,148.56,367.13,Bone weakness,Obesity
Vitamin C Variant 689,102.15,392.3,Muscle weakness,Liver strain
Rice Flour Variant 690,87.19,148.35,Poor digestion,Kidney damage
Zinc Variant 691,12.62,245.95,Fatigue,Stroke
Vitamin D Variant 692,142.32,391.79,Hormonal imbalance,Nerve damage
Vitamin B2 (Riboflavin) Variant 693,30.59,209.8,Fatigue,Hypertension
Whey Protein Variant 694,166.37,193.93,Memory problems,Hypertension
Vitamin B2 (Riboflavin) Variant 695,21.64,104.94,Vision issues,Diabetes
Vitamin A Variant 696,190.36,435.76,Hormonal imbalance,Obesity
Spirulina Variant 697,178.78,416.68,Poor growth,Nerve damage
Calcium Propionate Variant 698,36.96,297.43,Fatigue,Hypertension
Calcium Propionate Variant 699,180.5,216.68,Bone weakness,Hypertension
Sodium Nitrite Variant 700,45.86,190.66,Poor growth,Heart disease
Vitamin B2 (Riboflavin) Variant 701,171.37,367.59,Hormonal imbalance,Obesity
Fructose Variant 702,14.39,204.13,Bone weakness,Liver strain
Phosphorus Variant 703,94.46,176.15,Bone weakness,Toxicity
Vitamin A Variant 704,16.34,203.78,Poor growth,Toxicity
Magnesium Variant 705,199.67,320.04,Vision issues,Stroke
Protein Variant 706,64.86,97.54,Fatigue,Nerve damage
Yeast Extract Variant 707,6.07,229.15,Vision issues,Stroke
Textured Vegetable Protein Variant 708,166.82,322.58,Vision issues,Heart disease
Vitamin D Variant 709,48.85,292.37,Low immunity,Liver strain
Calcium Variant 710,150,227.36,Low immunity,Kidney damage
Phytic Acid Variant 711,145.7,408.83,Bone weakness,Heart disease
Fructose Variant 712,24.62,158.65,Fatigue,Heart disease
Xanthan Gum Variant 713,132.76,343.9,Bone weakness,Nerve damage
Iron Variant 714,156.08,236.26,Bone weakness,Heart disease
Saturated Fat Variant 715,41.45,322.33,Fatigue,Diabetes
Yeast Extract Variant 716,84.09,219.55,Poor growth,Nerve damage
Paprika Extract Variant 717,19.91,267.74,Memory problems,Stroke
Fat (Total) Variant 718,5.68,291.45,Hormonal imbalance,Liver strain
Manganese Variant 719,123.93,210.7,Muscle weakness,Toxicity
Omega-3 Variant 720,160.62,244.6,Fatigue,Diabetes
Vitamin B6 Variant 721,113.36,276.1,Low immunity,Obesity
Salt (Sodium) Variant 722,160.1,311.23,Poor growth,Stroke
Copper Variant 723,173.39,208.21,Hormonal imbalance,Gastro issues
Guar Gum Variant 724,22.86,238.78,Memory problems,Liver strain
Stevia Variant 725,101.58,248.86,Bone weakness,Liver strain
Folic Acid Variant 726,19.16,46.37,Memory problems,Liver strain
MSG (Monosodium Glutamate) Variant 727,126.49,346.25,Bone weakness,Heart disease
Xanthan Gum Variant 728,121.48,321.1,Poor digestion,Stroke
Antioxidants Variant 729,108.29,144.37,Memory problems,Heart disease
Oxalic Acid Variant 730,177,313.3,Poor growth,Heart disease
Caffeine Variant 731,106.23,139.22,Hormonal imbalance,Hypertension
Vitamin E Variant 732,42.25,97.56,Vision issues,Liver strain
Gluten Variant 733,26.93,244,Hormonal imbalance,Hypertension
Canola Oil Variant 734,60.59,274.96,Fatigue,Diabetes
Protein Variant 735,19.94,201.65,Memory problems,Hypertension
Vitamin B2 Variant 736,62.98,299.54,Hormonal imbalance,Heart disease
Fumaric Acid Variant 737,129.54,426.41,Hormonal imbalance,Stroke
Salt (Sodium) Variant 738,199.21,344.32,Low immunity,Nerve damage
Sucralose Variant 739,46.03,145.46,Low immunity,Obesity
Annatto Variant 740,100.77,175.9,Low immunity,Heart disease
Vitamin B2 (Riboflavin) Variant 741,142.24,277.72,Vision issues,Hypertension
MSG (Monosodium Glutamate) Variant 742,107.15,256.62,Fatigue,Obesity
Sugar Variant 743,21.78,142.6,Memory problems,Diabetes
Milk Powder Variant 744,171.56,369.78,Bone weakness,Heart disease
Lactose Variant 745,63.8,340.97,Anemia,Obesity
Textured Vegetable Protein Variant 746,145.66,167.65,Bone weakness,Heart disease
Vitamin B6 Variant 747,174.79,272.68,Anemia,Kidney damage
Cocoa Powder Variant 748,86.54,282.17,Poor digestion,Stroke
Vanillin Variant 749,152.99,183.26,Fatigue,Kidney damage
Artificial Vanilla Flavor Variant 750,145.86,411.79,Memory problems,Obesity
Sucralose Variant 751,34.79,95.39,Memory problems,Toxicity
Tartaric Acid Variant 752,164.9,218.33,Anemia,Nerve damage
Calcium Variant 753,46.46,292.1,Poor growth,Kidney damage
Selenium Variant 754,72.95,217.98,Poor digestion,Gastro issues
Potassium Variant 755,77.33,263,Fatigue,Hypertension
Carbohydrates Variant 756,89.29,273.61,Hormonal imbalance,Hypertension
Tartaric Acid Variant 757,125.37,423.21,Poor digestion,Stroke
Caseinate Variant 758,124.42,344.72,Poor growth,Obesity
Propyl Gallate Variant 759,178.39,397.37,Poor growth,Kidney damage
Omega-3 Variant 760,30.24,164.81,Poor growth,Nerve damage
Propyl Gallate Variant 761,53.41,115.61,Anemia,Hypertension
Artificial Sweeteners Variant 762,105.8,219.22,Vision issues,Liver strain
Olive Oil Variant 763,48.97,202.77,Poor growth,Hypertension
Protein Variant 764,86.71,362.33,Low immunity,Liver strain
Probiotics Variant 765,93.15,377.96,Low immunity,Kidney damage
TBHQ (Tertiary Butylhydroquinone) Variant 766,148.13,359.79,Muscle weakness,Obesity
Trans Fat Variant 767,7.27,265.34,Vision issues,Obesity
Cocoa Powder Variant 768,141.11,251.17,Bone weakness,Kidney damage
Taurine Variant 769,165.6,333.6,Hormonal imbalance,Liver strain
Peanuts Variant 770,155.01,433.42,Vision issues,Toxicity
Iodine Variant 771,89.63,347.65,Fatigue,Hypertension
Vitamin A Variant 772,70.32,170.39,Low immunity,Gastro issues
Fiber Variant 773,16.38,147.64,Fatigue,Stroke
Vitamin E Variant 774,49.84,153.81,Poor growth,Toxicity
Iodine Variant 775,153.68,175.26,Muscle weakness,Stroke
Vitamin B12 Variant 776,119.78,384.09,Fatigue,Obesity
Soy Protein Variant 777,1.94,270.63,Anemia,Hypertension
Omega-6 Fatty Acids Variant 778,182.31,421.95,Anemia,Toxicity
Beta-Carotene Variant 779,169.01,234.62,Bone weakness,Nerve damage
Vitamin B3 (Niacin) Variant 780,12.12,80.14,Vision issues,Obesity
Phytic Acid Variant 781,12.87,49.43,Bone weakness,Kidney damage
Pectin Variant 782,107.02,221.7,Vision issues,Obesity
Pectin Variant 783,141.93,226.32,Poor growth,Hypertension
Caffeine Variant 784,6.3,264.85,Poor growth,Liver strain
Sucralose Variant 785,169.27,197.73,Hormonal imbalance,Gastro issues
Cholesterol Variant 786,186.15,286.25,Fatigue,Hypertension
Chromium Variant 787,46.51,264.36,Low immunity,Hypertension
Textured Vegetable Protein Variant 788,107.5,352.86,Poor digestion,Heart disease
Sodium Sorbate Variant 789,152.99,339.18,Low immunity,Obesity
Rice Flour Variant 790,154.09,370.06,Poor digestion,Kidney damage
Iron Variant 791,63.81,186.91,Low immunity,Diabetes
Carrageenan Variant 792,92.18,238.76,Fatigue,Heart disease
Lactic Acid Variant 793,3.34,53.61,Poor digestion,Nerve damage
Saturated Fat Variant 794,83.36,96.25,Bone weakness,Obesity
Vitamin B6 Variant 795,89.83,371.08,Muscle weakness,Stroke
Fructose Variant 796,166.88,298.83,Poor digestion,Obesity
Taurine Variant 797,35.05,65.77,Vision issues,Nerve damage
Fumaric Acid Variant 798,68.22,134.48,Poor digestion,Kidney damage
Vitamin E Variant 799,165.46,223.09,Poor digestion,Hypertension
Paprika Extract Variant 800,50.6,321.3,Bone weakness,Nerve damage
Beetroot Powder Variant 801,104.8,153.22,Hormonal imbalance,Stroke
Preservatives (Sodium Benzoate) Variant 802,46.97,96.09,Hormonal imbalance,Nerve damage
Calcium Propionate Variant 803,16.15,133.25,Bone weakness,Hypertension
Guar Gum Variant 804,79.63,131.43,Low immunity,Gastro issues
Gelatin Variant 805,13.27,292.58,Fatigue,Nerve damage
Sodium Nitrite Variant 806,83.74,172.37,Low immunity,Toxicity
Spirulina Variant 807,133.47,395.72,Hormonal imbalance,Gastro issues
Vitamin B2 Variant 808,8.94,148.97,Anemia,Nerve damage
Whey Protein Variant 809,131.86,355.15,Hormonal imbalance,Toxicity
Sorbitol Variant 810,97.93,167.91,Poor digestion,Nerve damage
Whey Protein Variant 811,51.18,122.31,Poor growth,Stroke
Omega-3 Fatty Acids Variant 812,83.17,229.34,Memory problems,Nerve damage
Copper Variant 813,2.02,82.03,Vision issues,Diabetes
BHA (Butylated Hydroxyanisole) Variant 814,128.87,346.75,Low immunity,Gastro issues
Omega-6 Variant 815,146.73,242.68,Low immunity,Gastro issues
Chromium Variant 816,186.61,330.06,Vision issues,Stroke
Phosphorus Variant 817,50.86,164.21,Memory problems,Liver strain
Palm Oil Variant 818,4.89,233.93,Poor growth,Toxicity
Artificial Sweeteners Variant 819,25.53,197.29,Hormonal imbalance,Liver strain
Manganese Variant 820,169.9,399.48,Muscle weakness,Nerve damage
Magnesium Variant 821,26.33,93.05,Vision issues,Kidney damage
Fluoride Variant 822,125.55,255.09,Vision issues,Gastro issues
Guar Gum Variant 823,104.37,259.28,Anemia,Liver strain
Vitamin B12 Variant 824,6.1,139.47,Vision issues,Gastro issues
Folic Acid Variant 825,25.49,76.33,Poor growth,Diabetes
Beetroot Powder Variant 826,55.42,187.7,Bone weakness,Liver strain
Vitamin K Variant 827,160.5,355.11,Bone weakness,Hypertension
Selenium Variant 828,136.81,169.48,Low immunity,Nerve damage
